subject_id,title,year,rating,votes,directors,genres,durations,countries,aka,url,reviews,reviews_count
1292048,蓝白红三部曲之蓝 Trois couleurs: Bleu,1993,8.5,157218,克日什托夫·基耶斯洛夫斯基,剧情 / 爱情 / 音乐,98分钟,法国 / 波兰 / 瑞士语言:法语 / 波兰语 / 罗马尼亚语上映日期:1993-09-03(特柳赖德电影节)/1993-09-08(法国)/1993-10-10(波兰)片长:98分钟又名:蓝 / 蓝色情挑(台) / 三色之蓝色篇 / 三色：蓝 / 蓝色 / Three Colors: BlueIMDb:tt0108394,蓝 / 蓝色情挑(台) / 三色之蓝色篇 / 三色：蓝 / 蓝色 / Three Colors: BlueIMDb:tt0108394,https://movie.douban.com/subject/1292048/,"一直压在自己心头的是对方那份沉重的爱，当沉重不再，事亦惘然。 | 经历丧夫失女之痛的中年女人的心路历程。情感饱满，演技优秀，细节到位。觉得这个片子闷的人绝对是没怎么看过真正的闷片。基耶斯洛夫斯基为了拍摄一块方糖，试验了很多次才找到那从浸入咖啡到完全变色恰好五秒钟的方糖。朱丽叶为了体验角色，在没有保护措施的情况下拍摄手在石头上划动的镜头。很好 | ①自由与禁锢的辩证探讨:涌动的蓝色=情感十字架与记忆囚牢。②基氏签名-昭示宿命与偶然的神秘目击者:玩剑玉的男孩与吹笛手。③4次撕裂连续性时空的淡出-淡入,一如猝然的震颤与情感的黑狱。④蓝色泳池,重回母体,自毁与新生的象征。⑤浸入咖啡一角的方糖。⑥结尾透过鱼缸的床戏与卷轴蒙太奇。（9.0/10） | 全都是一種痛徹心扉的藍，是Juliette用拳頭與赤裸的石牆摩擦的那種痛，是看到垃圾車刺穿曲譜的痛，還有淺藍色水晶燈投射出來的淡淡哀痛。 | 有些失去总令人念念不忘，特别是爱的最为刻骨铭心的时候。",5
1292047,蓝白红三部曲之红 Trois couleurs: Rouge,1994,8.8,135915,克日什托夫·基耶斯洛夫斯基,剧情 / 爱情 / 悬疑,99分钟,法国 / 波兰 / 瑞士语言:法语上映日期:1994-05-12(戛纳电影节)/1994-05-27(波兰)/1994-09-14(法国)片长:99分钟又名:红 / 红色情深(台) / 三色之红色篇 / 三色：红 / 红色 / Three Colors: RedIMDb:tt0111495,红 / 红色情深(台) / 三色之红色篇 / 三色：红 / 红色 / Three Colors: RedIMDb:tt0111495,https://movie.douban.com/subject/1292047/,三部曲終於完滿了。那個扔瓶子的老太太，終於有人肯幫她一把了。這就是電影的主旨——博愛。 | 能在不幸中自愈，能在报复中哭泣，能在欺骗后相信，才能在命运的风暴中幸存。 | 对这种电影真的没什么感觉 | 她走在他过去时空的轨迹上，于是终于在现在，碰上了他。 | 我爱伊莲娜雅各布以及她的黑丝袜,5
1292049,蓝白红三部曲之白 Trois couleurs: Blanc,1994,8.4,119887,克日什托夫·基耶斯洛夫斯基,剧情 / 喜剧 / 爱情 / 悬疑,92分钟,法国 / 波兰 / 瑞士语言:法语 / 波兰语上映日期:1994-01-26(法国)/1994-02-25(波兰)片长:92分钟又名:白 / 白色情迷(台) / 三色之白色篇 / 三色：白 / 白色 / Three Colors: WhiteIMDb:tt0111507,白 / 白色情迷(台) / 三色之白色篇 / 三色：白 / 白色 / Three Colors: WhiteIMDb:tt0111507,https://movie.douban.com/subject/1292049/,"记仇的小男人真可怕。 | 虽然三部曲里面最喜欢的不是这部，但不得不说这部的剧情冲突是最强的。
白色是空白，白色是圣洁，白色是平等。
男主复仇一系列举动，本质还是因为爱的太卑微，爱情是只有在平等的基础上才能长久下去。
人活着如果太卑微，就会变得狭隘自私，感觉怎么样都是为了卑微而活。 | Julie Delpy年轻的时候真美。PS，最后的哑语是：等我出狱后，我们一起离开，或者我留下，我们结婚。 | 玩得挺开心，还挺好笑。地域阻隔带来人的困境和东西欧的关系寓言性强，后来的情节发展拿到今天一看还有预言性……单看爱情的话，实在有点感同身受，如果说忘掉旧爱一靠时间二靠新欢，那么证明旧爱则一靠金钱二靠死亡。以上都是配合使用效果更佳。 | 卑微者祈求的是什么？是平等吗？还是高贵者的垂怜？
在这个片子里，我看到的不是对平等的追求，而是卑微者以最极端然而也是最卑微的方式祈求爱的努力，而一切的一切，却只不过证明了自身的卑微而已。",5
1291877,两生花 La Double vie de Véronique,1991,8.3,87367,克日什托夫·基耶斯洛夫斯基,剧情 / 爱情 / 奇幻,98分钟,法国 / 波兰 / 挪威语言:法语 / 波兰语 / 意大利语上映日期:1991-05-15(法国)/1991-09-20(挪威)/1991-10-06(波兰)片长:98分钟又名:薇洛妮卡的双重生活 / 维罗尼卡的双重生命 / 双面薇若妮卡(台) / 双生花 / 今世今生 / The Double Life of Veronique / Podwójne życie WeronikiIMDb:tt0101765,薇洛妮卡的双重生活 / 维罗尼卡的双重生命 / 双面薇若妮卡(台) / 双生花 / 今世今生 / The Double Life of Veronique / Podwójne życie WeronikiIMDb:tt0101765,https://movie.douban.com/subject/1291877/,波兰方面的故事短了一些，但法国的那个确实烂漫很多啊，相当文艺了，很多镜头好奇特，颜色运用太美妙了（和昨天的毒品网络又是不同的风格），很多地方一片昏暗然后突然一点点大红⋯⋯挺美的 | 两个维罗妮卡，同样的姿颜姝丽、天资聪慧，连先天遗留的病症都不无二致，而生者就如同玻璃球中的倒影，始终不会与死者重合。她会选择安稳而不是冒险高歌、向死而生，她迷失、孤独、努力探寻真实的世界，得到的却只有性与虚无。基氏提出了一种生命的假设，而他的镜头也一直在阐述着这个母题——即，在命运的洪流中寻找自己。 | 不是克氏最佳的作品，而是一次雄心的尝试。克氏毕竟不是塔可夫斯基，他的现实主义性格太重了。 | 文艺片真可怕，我又没看懂…… | 刘小枫的思想无法通过这部电影解读。若不是画面和音乐，以及美到入骨的女主角，这片子还能看下去么？,5
1301252,十诫 Dekalog,1989,9.2,26467,克日什托夫·基耶斯洛夫斯基,剧情,,波兰 / 西德语言:波兰语首播:1989-05-16(戛纳电影节)/1989-09-05(威尼斯电影节)/1989-12-10(波兰)/1990-05-04(西德)集数:10单集片长:55分钟 / 572分钟(电影节版)又名:The Decalogue / The Ten CommandmentsIMDb:tt0092337,The Decalogue / The Ten CommandmentsIMDb:tt0092337,https://movie.douban.com/subject/1301252/,如果十诫真是上帝所制，它肯定不是为了规诫人类，而是为了让后者知道自己多么无力，注定无从避免犯这些罪过。 | 陆陆续续看完了《十诫》，我想说，这哪里是一个导演在拍电影，这分明就是一个哲学家（这个标签并不贴切）在拍摄他的疑问，内容所涉包括宗教、哲学、伦理、道德、法律、情感等种种，我们经常会被导演带入一个进退维谷的两难处境，留下的是无尽的思考。 | 摩西十诫实例化的电影诠释..貌为宗教，实为伦理..违背十诫之罪所带来的人间苦难，感情和法律、义理上无解的难题，基耶斯洛夫斯基通过演绎法倾述给了观众..故事都不长，但又都具有极强的代入感.编剧刻意使用了通俗的、非地域化的情节设置，技术上又能调和冷峻的东欧风味，观影多年，仍值得再推荐 | #重看#9年后的回望观感更深；极其完整的概念系列电影，每集之间信息勾连丰富，本片与其他作品的互文、注释、指涉，构成完美的、自成一体的基耶式“宇宙”，有极为广阔的解读空间；无休止的焦灼现实，永无结局的道德困境，命运天使的神谕指示，生命中无法言说的神秘伤痕。 | 面对这部巨作，还能说什么,5
1294570,爱情短片 Krótki film o miłości,1988,8.8,34779,克日什托夫·基耶斯洛夫斯基,剧情 / 爱情,88分钟,波兰语言:波兰语 / 葡萄牙语上映日期:1988-10-21(波兰)片长:88分钟又名:情路长短调(台) / 关于爱情的短片 / 情诫 / A Short Film About LoveIMDb:tt0095467,情路长短调(台) / 关于爱情的短片 / 情诫 / A Short Film About LoveIMDb:tt0095467,https://movie.douban.com/subject/1294570/,电影中，我们被文艺的镜头意蕴吸引，我们被细腻与真挚的感情打动，我们对两人间的羁绊产生无限共鸣，我们去思索爱与欲的真谛。现实中，我们感到愤怒，我们感到恶心，我们叫男人猥琐变态怂逼骚扰狂，我们给它贴上male gaze的标签，我们紧闭内心的门窗，我们没有女主寂寞没有男主帅，我们的秒射不叫爱。 | 基耶斯洛夫斯基在提及本片時說：「我發現其中有趣的是它的拍攝角度。我們總是透過去愛的這個人而不是被愛的這個人來看世界。」「我們從愛的這個人而不是從被愛的人的角度來觀察問題。被愛的人是個物體，只存在於碎片中。」這部電影可以括之為：「我愛故她在，她愛我不在。愛是一種偷窺。」 | 精致的极品：故事没有一句废话，镜头没有一处拖沓，配乐没有一丝离群，感情没有一点虚假。http://v.youku.com/v_playlist/f1030956o1p0.html | 偷窥的男孩代表着爱情的纯洁，他不渴望亲吻不渴望肉体什么都不索取，而成熟女人代表着爱情的苍白，她根本不相信爱的存在。当两者相遇，纯洁的爱被蹂躏于是崩溃，而另一方在这个过程中找到了爱的证明，相信爱。 | 片尾不错。通过别人爱恋你时的眼睛，重新发现自己的美。以及（或许），爱的美。,5
1307200,机遇之歌 Przypadek,1987,8.6,15569,克日什托夫·基耶斯洛夫斯基,剧情,114分钟,波兰语言:波兰语上映日期:1987-01-10(波兰)/1987-05-08(戛纳电影节)片长:114分钟/ 123分钟(未删节版)又名:盲打误撞(港) / Blind ChanceIMDb:tt0084549,盲打误撞(港) / Blind ChanceIMDb:tt0084549,https://movie.douban.com/subject/1307200/,作为不行动的主体，威特克的人生全然围绕着偶然展开。显然在那个无从选择的年代下谈论机遇简直滑稽可笑，但相较于反抗的瘾君子和秘密的地下大学，是追求自保的庸碌和怯懦的本性将威特克带往悲剧，因此每篇皆是以主角个人的全面失败作为结局，正是抱着随波逐流的心态，巴黎才成为这种青年永远的彼岸理想。以火车为结构大形式，三段故事中的主角总是以误打误撞的方式决定自己的人生：由领路人所引导，无论是宣誓效忠还是进入地下组织，被上帝俘获还是成为中立医生，却始终徘徊在局外人的身份中，直至被信仰背叛。正是由于真实信仰的缺失，开篇失去医生使命感的无力实则贯穿为个人失去“存在意义”的伏笔，于是他的人生便被编码入以下三种符号：顺势而下的弹簧（在组织内陷入僵死）、消失的纸条（旁观他人完成梦想）以及相同轨迹的抛球（重复却无力改变）。 | 关注细节很重要，不然第一场的前半小时都会很沉闷。 | 电影不仅是萝拉快跑等“命运从一个点分散出去”形式的源头，更是在说当时波兰的社会，不论你有没有赶上那列火车，加入了哪个政党，信不信上帝，甚至有意无意地置身事外，生命的走向都在他人的手里。基氏喜欢拍奇怪的小物件，却情感无比精准！修复版，男主角真帅啊，裹严实和脱光都看不厌。。 | 2024.11.15，大银幕二刷@小西天。不期而遇的戴爷映后。原来基翁想做木匠。重看更关注运镜的巧妙，尤其是流动的构图中身体位置关系的处理：往往由主角的主观视角向主角也被看的外在视角不着痕迹流畅转换。而位置的转换与命运的隐秘联结（谁被关入牢笼，谁上那趟航班，甚至谁是双胞胎中活下来的一个）正是故事里暗藏的另一个重要命题。结尾三段故事中的人物在交通工具前重聚，像三色结尾的预演。散场又读基翁访谈，“我们每一天都面临一些足以结束我们一生的选择，而我们却对此全然不知。”丨2021.9.26，11th BJIFF No.24@北京剧院。关于政治选择与自由意志的讨论，但最迷人的仍然是基氏对偶然与命运的强调。片头声明是还原了被删减片段的版本。第二段故事里有一处说明：此为唯一无法还原的片段。出字幕时，全场鼓掌。开场画面是男主在飞机坠毁前的嘶喊。 | 拜三段式祖师。有场两人全裸躺在床上抽烟聊天的戏特别美。,5
1303654,杀人短片 Krótki film o zabijaniu,1988,8.2,17989,克日什托夫·基耶斯洛夫斯基,剧情 / 犯罪,84分钟,波兰语言:波兰语上映日期:1988-03-11(波兰)片长:84分钟又名:杀人影片 / 杀诫 / 关于杀人的短片 / 教我如何去杀他 / A Short Film About KillingIMDb:tt0095468,杀人影片 / 杀诫 / 关于杀人的短片 / 教我如何去杀他 / A Short Film About KillingIMDb:tt0095468,https://movie.douban.com/subject/1303654/,当知道一个人有故事后，再面对他的死亡便不那么容易 | 压抑滞重的故事。冷峻的氛围，昏暗的色调，痛苦的乐声。Side A，45min，怎样杀一个普通人。Side B，35 min，怎样杀一个罪人。法庭部分故意缺失，只剩下律师曾经的喜悦与当下的痛苦。青年无动机杀人是因为失去了生命的支撑，刻意寻死，却在真正面对死时产生了莫大的恐惧。 | “死刑”的背后是剧变前夕的社会主义波兰。基耶的根本目的不是要讨论“死刑”要不要废止这个问题，91年前他所有的电影最重要的特点就是言在此而意在彼。杀人者为何在临刑前悲伤地坦陈？基耶要说的是最大的施暴者就是结尾代表的国家机器。所以在这样以暴制暴的循坏当中，是国家存在合理性的问题。只是这部切入点和背后理念有些错位，不如《影迷》来得顺畅。映前导赏的VCR提到这是基耶真正打开国际知名度的电影，结合一下时间背景和片子背后主题，应该不难理解为什么会受到如此的欢迎。 | 阴郁的滤镜充斥全片...关于杀人犯的思考...16年重看了一遍，完全找不到同情杀人犯质疑死刑的缘由...妄图改造感化只能说很天真... | 基耶斯洛夫斯基就像上帝一样俯视着芸芸众生的悲哀...,5
1294303,影迷 Amator,1979,8.3,7347,克日什托夫·基耶斯洛夫斯基,剧情 / 喜剧 / 爱情,113分钟,波兰语言:波兰语上映日期:1979-08(莫斯科电影节)/1979-11-16(波兰)片长:113分钟又名:电影狂(台) / Camera BuffIMDb:tt0078763,电影狂(台) / Camera BuffIMDb:tt0078763,https://movie.douban.com/subject/1294303/,"不是不喜欢平静安稳的生活，而是在那生活之上，你还应该去热爱或追求点什么——包括电影在内等艺术形式，能给予人类另外一双眼睛，更加真诚、善良和客观地看待周围事物。 | 基耶夫洛夫斯基着力点永远不是生活的两极，而是普通人，普通之境遇，以及无法摆脱的生活困境。这种困境可能来源于体制，可能来源于亲情。生活在这个框中，挣扎过程即是生活本身。矛盾迫使我们反躬自问，在冲突中缓解，并走向下一个冲突。 | 『然后我爱上你这便是物证』 | 基耶斯洛夫斯基在自己的书中写道""电影意味着每天早晨六点起床；意味着严寒、大雨、泥泞以及举着笨重的灯……别的东西，包括你的家庭、感情和私生活都是第二位的。""他一直在寻找电影的意义，正如影片中那样。电影是人的第二重生命，那些看似平淡无奇的时光，透过镜头有了忧伤，有了情感，那些离别变得隽永。 | 最感动的一幕还是，当他把给朋友妈妈拍的东西回放给朋友时（朋友的妈妈已经去世），朋友说了一句：“谢谢”。影像的力量如此简单。谢谢电影。",5
1293109,无休无止 Bez końca,1985,7.9,4875,克日什托夫·基耶斯洛夫斯基,剧情,109分钟,波兰语言:波兰语 / 英语上映日期:1985-06-17(波兰)片长:109分钟又名:永无休止 / 不绝之路(台) / 永无止境 / No End / 无止无终(港)IMDb:tt0086961,永无休止 / 不绝之路(台) / 永无止境 / No End / 无止无终(港)IMDb:tt0086961,https://movie.douban.com/subject/1293109/,东欧影片似乎都与政治有关，但是，对比美国政治电影里体现出的情绪化，倾向性和爱憎分明，基氏电影是冷静的、克制的，甚至有些压抑，如同冰的火焰。 | 基翁的剧情片里，死亡的暗影总是挥之不去，而《无休无止》是最浓重的一部，就像开煤气自杀那个推到炉灶深处的镜头，审视了一个人是怎样在痛失所爱后无可挽回地堕入死亡的。她似乎有很多继续生活的理由：乖巧懂事的儿子、熟识多年的追求者、有意义的事业。但这些最终都没有成为能够让她继续留在人间的羁绊，才更让人感受到至哀的无可纾解。作为《无休无止》的镜像，《蓝》实在太温暖太治愈了。政治的部分如同副歌，在补完逝者形象的同时，也具有强烈的象征意义：对于波兰来说，那个介于理想主义和实用主义两条道路之间的完美可能，已经夭亡了。 | 双线叙事。一条是难以接受丈夫辞世，自暴自弃甚至援交美国、背叛革命的妻子；另一条是笃守信念，以绝食与当局对抗的革命同志。事实上，坚定的同志最终选择了妥协，而看似软弱的妻子却将革命进行到底，伴随着自由意志与夫君共赴黄泉。官司打赢了，法庭里无人欢呼；妻子自杀了，死者的魂灵却得到了安息。 | 从这部可以看见蓝的前身，对情绪的探讨和对个体自由的寻求，也表达了基氏对法律这种扼杀个体独特性条文的抨击，但缺少了个体之间的影响和映射，自杀的结尾也有些败笔，毕竟电影是给或者并且想继续生活的人看的 | 我也不知道一切是怎么发生的我从一只苍狼变成赖狗是狂风在无情抽打着我脸是仰望天空的双眼露出贪婪的光芒还是身体里袭来的阵阵恐惧的回音侵扰我的灵魂也许是我的项圈一无所有被人遗忘踉呛屈从一只丧家犬主啊请在无声的哀求中割开我的喉咙赐予我自由的生活流泪也情愿（有删减因为字数不够痛苦）,5
